GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,TradeController,21,45,0,4,5,13,2,6,2,4
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,RuleNameController,21,45,0,4,5,13,2,6,2,4
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,CustomErrorController,2,3,0,0,1,1,1,1,1,1
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,BidListController,21,50,0,4,5,14,2,6,2,4
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,RatingController,21,45,0,4,5,13,2,6,2,4
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,LoginController,9,0,4,0,3,0,3,0,1,0
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,UserController,9,79,0,4,2,21,1,7,1,5
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,CurvePointController,21,45,0,4,5,13,2,6,2,4
TradingApp,com.PoseidonCapitalSolutions.TradingApp.controller,HomeController,11,3,4,0,4,1,4,1,2,1
TradingApp,com.PoseidonCapitalSolutions.TradingApp.service,BidListService,0,90,0,0,0,17,0,8,0,8
TradingApp,com.PoseidonCapitalSolutions.TradingApp.service,TradeService,0,90,0,0,0,17,0,8,0,8
TradingApp,com.PoseidonCapitalSolutions.TradingApp.service,RuleNameService,0,90,0,0,0,17,0,8,0,8
TradingApp,com.PoseidonCapitalSolutions.TradingApp.service,CurvePointService,0,90,0,0,0,17,0,8,0,8
TradingApp,com.PoseidonCapitalSolutions.TradingApp.service,RatingService,0,90,0,0,0,17,0,8,0,8
TradingApp,com.PoseidonCapitalSolutions.TradingApp.service,UserService,0,169,3,13,0,32,3,13,0,8
TradingApp,com.PoseidonCapitalSolutions.TradingApp,TradingAppApplication,5,3,0,0,2,1,1,1,1,1
